_id,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,shoots,weight
boerwto01,16.3,7.2,9,38,0,Right,265lb
boganke01,9.6,6.3,2.7,20.4,48.9,Right,215lb
bogdabo01,13.8,12.9,3.1,5.6,51.2,Right,205lb
bogdabo02,13.4,13.3,3.4,18.4,54.7,Right,216lb
boguemu01,15,7.7,2.6,54,46.7,Right,136lb
bogutan01,16.4,9.6,8.7,50.6,53.5,Right,260lb
bohanet01,10.2,1.4,1.7,0.1,42.9,Right,220lb
bolma01,9.4,2.6,4.2,12.3,42,Right,200lb
boldejo01,12.7,4.7,3.8,1.4,59.9,Right,220lb
bolgebi01,10.7,2.8,1.8,0.2,0,Right,205lb
bolomjo01,16.4,1.7,1.5,0.3,56.8,Right,235lb
bolstdo01,2.2,1.3,0,0,0,Right,195lb
bonsage01,0.1,1.3,0.7,0.1,0,Right,220lb
bondph01,5.3,0.6,0.6,0,0,Right,175lb
bondwa01,9.2,5.7,1.9,0.7,43.4,Right,200lb
boneyde01,10.2,2.4,0.8,0,34.2,Right,185lb
bongais01,6,0.9,1.1,0.1,15.2,Right,180lb
bonharo01,16.7,6.1,1.4,2.7,38.8,Right,192lb
bonnean01,11.5,6.9,5.4,10.8,46.9,Right,215lb
bonnema01,13.6,5.8,3,38.5,57,Right,235lb
bookebu01,15.7,5.8,7.6,0.4,49.2,Right,230lb
bookede01,16.1,21.4,3.5,9.8,49.4,Right,210lb
bookeme01,8.2,5.2,1.2,0.1,44.8,Right,185lb
booketr01,15,6.9,5.5,26.2,52.8,Left,228lb
boonejo01,14.2,5.2,4.9,9.1,54.4,Right,237lb
boonero01,15.4,16.8,4.2,59.3,46.6,Right,200lb
boothca01,12.4,3.3,2.8,8,45.2,Left,230lb
boothke01,7.3,2.9,2.2,0.8,32.8,Right,226lb
boozebo01,16.1,14.8,8.1,64.2,0,Right,215lb
boozeca01,19.5,16.2,9.5,80.3,52.1,Right,258lb
borchcu01,9,3.1,3.3,1,42.1,Right,240lb
bornhja01,0,4.6,0,1.2,0,Right,200lb
borrela01,15,3.6,2.4,0.3,44.4,Right,220lb
borsaik01,0,2.7,1,0.1,0,Right,220lb
borylvi01,10.3,11.2,3.7,16,0,Right,210lb
boshch01,20.6,19.2,8.5,106,50.6,Left,235lb
bostiji01,18.9,6.5,4,0.1,0,Right,225lb
bostola01,12.6,4.3,3,0.2,46.2,Right,225lb
bosweto01,13.7,7.7,4.7,15.2,53.4,Right,220lb
bouchch01,21.9,3.2,2,0.6,51.9,Right,200lb
boumtru01,6.4,1,1.3,0.2,36.8,Right,257lb
bovendo01,12,9,4.2,7.4,0,Right,210lb
bowdlca01,11.3,3,1.9,1.8,40.7,Right,245lb
bowenbr01,8.2,6.1,2.8,42.9,49.4,Right,185lb
bowenry01,10.5,2.6,2.1,12.4,46.2,Right,215lb
bowento01,9.3,5.4,4.8,2.8,40.9,Right,220lb
bowiean01,11.7,6.4,2.2,12.3,48.7,Right,190lb
bowiesa01,14.6,10.9,7.5,26.9,45.6,Right,235lb
bowlior01,1.7,1.9,2.6,0.2,32.1,Right,215lb
bowmair01,13.4,0.9,0.3,0.2,63.6,Right,195lb
bowmana01,9.2,2.9,3.4,1,38.8,Right,230lb
boycedo01,9.3,2.6,0.8,0.3,38.4,Right,196lb
boydde01,4,1.2,0.4,0.2,0,Right,175lb
boydfr01,10.5,8.5,1.6,1.4,0,Left,180lb
boydke01,25.3,3.2,0.8,0.1,0,Right,195lb
boykiea01,15.7,8.9,1.3,26,45.5,Right,135lb
boykoha01,0,10.1,4.6,7,0,Right,225lb
boynewi01,10.8,8.4,2.1,0.9,43.5,Right,185lb
bozemce01,0.1,1.1,1,0.3,30.8,Right,207lb
bracest01,12.6,6.1,1.6,3.9,0,Right,175lb
brackcr01,3.1,1.8,1.1,0.2,29.6,Right,230lb
braddga01,18.8,12.2,5.5,15.8,47.5,Right,210lb
bradlal02,12.4,3.5,1.7,0.4,52.4,Right,215lb
bradlal01,8.6,4.4,1.5,0.2,41.9,Right,190lb
bradlav01,11.2,12,3,14.6,49.4,Right,180lb
bradlbi02,7.1,3.8,0.8,0.4,32.4,Right,165lb
bradlbi01,12.2,12.4,3.2,38.8,0,Right,205lb
bradlch01,8.4,3.2,1.1,0.3,41.6,Right,215lb
bradldu01,12,5.2,1.8,16.5,45.8,Right,195lb
bradlji01,12.3,7,5.4,3.7,42.9,Right,215lb
bradljo01,0,1.9,0,0.3,0,Right,175lb
bradlmi01,11.3,2.8,3.4,2,47.9,Right,245lb
bradlsh01,16,8.1,6.3,40.7,45.7,Right,235lb
bradlto01,15.1,2.1,2.2,0.1,40.7,Right,248lb
bradtma01,9.6,1.6,1.9,0.2,43.1,Right,265lb
braggma01,9.8,2.5,1.5,0.1,45,Right,230lb
braggto01,9.8,2.1,2.3,0.3,47.5,Right,245lb
